phrase,class
"In the history of development economics, X has been thought of as a key factor in   ",Establishing the importance of the topic for the world or society 
"Recently, there has been renewed interest in   ",Establishing the importance of the topic (time frame given)
"Traditionally, Xs have subscribed to the belief that   ",Establishing the importance of the topic (time frame given)
One of the most important events of the 1970s was   ,Establishing the importance of the topic (time frame given)
"In recent years, there has been an increasing interest in   ",Establishing the importance of the topic (time frame given)
Recent developments in X have heightened the need for   ,Establishing the importance of the topic (time frame given)
The last two decades have seen a growing trend towards   ,Establishing the importance of the topic (time frame given)
"Recently, researchers have shown an increased interest in  ",Establishing the importance of the topic (time frame given)
"Over the past century, there has been a dramatic increase in   ",Establishing the importance of the topic (time frame given)
Recent trends in X have led to a proliferation of studies that  ,Establishing the importance of the topic (time frame given)
X proved an important literary genre in the early Y community. ,Establishing the importance of the topic (time frame given)
The past decade has seen the rapid development of X in many   ,Establishing the importance of the topic (time frame given)
"Recently, a considerable literature has grown up around the theme of   ",Establishing the importance of the topic (time frame given)
Recent developments in the field of X have led to a renewed interest in   ,Establishing the importance of the topic (time frame given)
"Since it was reported in 2009, X has been attracting considerable interest. ",Establishing the importance of the topic (time frame given)
The past thirty years have seen increasingly rapid advances in the field of   ,Establishing the importance of the topic (time frame given)
The changes experienced by X over the past decade remain unprecedented. ,Establishing the importance of the topic (time frame given)
"In the last few decades, there has been a surge of interest in the effects of   ",Establishing the importance of the topic (time frame given)
"The study of X, which includes Y, has grown significantly since the early 1980s. ",Establishing the importance of the topic (time frame given)
"For more than a century, scientists have been interested in the existence of   ",Establishing the importance of the topic (time frame given)
"In light of recent events in X, it is becoming extremely difficult to ignore the existence of   ",Establishing the importance of the topic (time frame given)
X is a leading cause of   ,Highlighting an important problem 
One of the main obstacles   ,Highlighting an important problem 
One of the greatest challenges   ,Highlighting an important problem 
A key issue is the safe disposal of   ,Highlighting an important problem 
The main disadvantage of X is that   ,Highlighting an important problem 
X is associated with increased risk of   ,Highlighting an important problem 
X is a common disorder characterised by   ,Highlighting an important problem 
It is now well established that X can impair   ,Highlighting an important problem 
"X is a common, chronic disease of childhood",Highlighting an important problem 
X has led to the decline in the population of   ,Highlighting an important problem 
X is a growing public health concern worldwide. ,Highlighting an important problem 
The main challenge faced by many researchers is the   ,Highlighting an important problem 
X is one of the most frequently stated problems with   ,Highlighting an important problem 
Lack of X has existed as a health problem for many years. ,Highlighting an important problem 
"X is a major public health problem, and the main cause of   ",Highlighting an important problem 
Xs are one of the most rapidly declining groups of insects in  ,Highlighting an important problem 
X is the leading cause of death in western industrialised countries. ,Highlighting an important problem 
"Despite its long clinical success, X has a number of problems in use. ",Highlighting an important problem 
Exposure to X has been shown to be related to adverse effects in   ,Highlighting an important problem 
There is increasing concern that some Xs are being disadvantaged   ,Highlighting an important problem 
There is an urgent need to address the safety problems caused by   ,Highlighting an important problem 
Questions have been raised about the safety of the prolonged use of   ,Highlighting an important problem 
The prevalence of X is increasing at an alarming rate in all age groups. ,Highlighting an important problem 
"Despite its safety and efficacy, X suffers from several major drawbacks  ",Highlighting an important problem 
"Along with this growth in X, however, there is increasing concern over   ",Highlighting an important problem 
"X is increasingly recognised as a serious, worldwide public health concern. ",Highlighting an important problem 
"X and its consequences are an important, but understudied, cause for concern. ",Highlighting an important problem 
"However, X may cause   ",Highlighting an important problem 
"However, X is limited by    ",Highlighting an important problem 
"However, X suffers from   ",Highlighting an important problem 
"However, X is too expensive to be used for   ",Highlighting an important problem 
"However, X has accentuated the problem of   ",Highlighting an important problem 
"However, the performance of X is limited by   ",Highlighting an important problem 
"However, X could be a contributing factor to   ",Highlighting an important problem 
"However, the synthesis of X remains a major challenge. ",Highlighting an important problem 
"However, X can be extremely harmful to human beings. ",Highlighting an important problem 
"However, research has consistently shown that X lacks   ",Highlighting an important problem 
"However, a major problem with this kind of application is   ",Highlighting an important problem 
"However, the determination of X is technically challenging. ",Highlighting an important problem 
"However, current methods of X have proven to be unreliable. ",Highlighting an important problem 
"However, these rapid changes are having a serious effect on   ",Highlighting an important problem 
"However, X can be adversely affected under certain conditions. ",Highlighting an important problem 
"However, accounting for these varying experiences is problematic . ",Highlighting an important problem 
"However, observations have indicated a serious decline in the population of   ",Highlighting an important problem 
X may cause   ,Highlighting an important problem 
X is limited by    ,Highlighting an important problem 
X suffers from   ,Highlighting an important problem 
X is too expensive to be used for   ,Highlighting an important problem 
X has accentuated the problem of   ,Highlighting an important problem 
the performance of X is limited by   ,Highlighting an important problem 
X could be a contributing factor to   ,Highlighting an important problem 
the synthesis of X remains a major challenge. ,Highlighting an important problem 
X can be extremely harmful to human beings. ,Highlighting an important problem 
research has consistently shown that X lacks   ,Highlighting an important problem 
a major problem with this kind of application is   ,Highlighting an important problem 
the determination of X is technically challenging. ,Highlighting an important problem 
current methods of X have proven to be unreliable. ,Highlighting an important problem 
these rapid changes are having a serious effect on   ,Highlighting an important problem 
X can be adversely affected under certain conditions. ,Highlighting an important problem 
accounting for these varying experiences is problematic . ,Highlighting an important problem 
observations have indicated a serious decline in the population of   ,Highlighting an important problem 
Recent evidence suggests that    ,Synopsis of literature 
Previous studies have reported   ,Synopsis of literature 
Recent studies have shown that   ,Synopsis of literature 
Several studies have documented   ,Synopsis of literature 
Studies of X show the importance of        ,Synopsis of literature 
Several attempts have been made to   ,Synopsis of literature 
Previous research has established that   ,Synopsis of literature 
Data from several studies suggest that   ,Synopsis of literature 
Recent work by historians has established that   ,Synopsis of literature 
Previous research comparing X and Y has found   ,Synopsis of literature 
Existing research recognises the critical role played by   ,Synopsis of literature 
"It is now well established from a variety of studies, that ",Synopsis of literature 
Recently investigators have examined the effects of X on Y. ,Synopsis of literature 
Surveys such as that conducted by X have shown that   ,Synopsis of literature 
Factors found to be influencing X have been explored in several studies. ,Synopsis of literature 
A number of cross sectional studies suggest an association between X and Y  ,Synopsis of literature 
Studies over the past two decades have provided important information on   ,Synopsis of literature 
A considerable amount of literature has been published on X. These studies   ,Synopsis of literature 
"In the past two decades, a number of researchers have sought to determine   ",Synopsis of literature 
"In previous studies of X, different variables have been found to be related to",Synopsis of literature 
The first serious discussions and analyses of X emerged during the 1970s with   ,Synopsis of literature 
There have been a number of longitudinal studies involving X that have reported   ,Synopsis of literature 
Xs were reported in the first studies of Y,Synopsis of literature 
What we know about X is largely based upon empirical studies that investigate how   ,Synopsis of literature 
"X shows how, in the past, research into X was mainly concerned with   ",Synopsis of literature 
Results from earlier studies demonstrate a strong and consistent association between   ,Synopsis of literature 
There are a large number of published studies that describe the link between,Synopsis of literature 
A number of studies have found   ,Synopsis of literature 
A number of studies have reported   ,Synopsis of literature 
A number of studies  have identified,Synopsis of literature 
A number of studies  have shown that   ,Synopsis of literature 
A number of studies  have attempted to   ,Synopsis of literature 
A number of studies have demonstrated that   ,Synopsis of literature 
A number of studies have investigated whether   ,Synopsis of literature 
A number of studies have found an association between   ,Synopsis of literature 
A number of studies have explored risk factors associated with   ,Synopsis of literature 
A number of researchers  have found   ,Synopsis of literature 
A number of researchers  have reported   ,Synopsis of literature 
A number of researchers  have identified  . ,Synopsis of literature 
A number of researchers  have shown that   ,Synopsis of literature 
A number of researchers  have attempted to   ,Synopsis of literature 
A number of researchers  have demonstrated that   ,Synopsis of literature 
A number of researchers  have investigated whether   ,Synopsis of literature 
A number of researchers  have found an association between   ,Synopsis of literature 
A number of researchers  have explored risk factors associated with   ,Synopsis of literature 
It has been noted that   ,Synopsis of literature 
It has been argued that   ,Synopsis of literature 
It has been shown that   ,Synopsis of literature 
It has been reported that    ,Synopsis of literature 
It has been assumed that   ,Synopsis of literature 
It has been suggested that   ,Synopsis of literature 
It has been established that   ,Synopsis of literature 
It has been demonstrated that  . ,Synopsis of literature 
It has been conclusively shown that    ,Synopsis of literature 
What we know about X  comes from accounts by,Synopsis of literature 
What is known about X  comes from accounts by,Synopsis of literature 
What we know about X  is based on accounts by,Synopsis of literature 
What we know about X  is derived from  accounts by,Synopsis of literature 
What is known about X  is based on accounts by,Synopsis of literature 
What is known about X  is derived from  accounts by,Synopsis of literature 
What we know about X  comes from  observations of,Synopsis of literature 
What is known about X  comes from  observations of,Synopsis of literature 
What we know about X  is based on observations of,Synopsis of literature 
What we know about X  is derived from  observations of,Synopsis of literature 
What is known about X  is based on observations of,Synopsis of literature 
What is known about X  is derived from  observations of,Synopsis of literature 
What we know about X  comes from  laboratory studies,Synopsis of literature 
What is known about X  comes from  laboratory studies,Synopsis of literature 
What we know about X  is based on laboratory studies,Synopsis of literature 
What we know about X  is derived from  laboratory studies,Synopsis of literature 
What is known about X  is based on laboratory studies,Synopsis of literature 
What is known about X  is derived from  laboratory studies,Synopsis of literature 
What we know about X  comes from  historical data from ,Synopsis of literature 
What is known about X  comes from  historical data from ,Synopsis of literature 
What we know about X  is based on historical data from ,Synopsis of literature 
What we know about X  is derived from  historical data from ,Synopsis of literature 
What is known about X  is based on historical data from ,Synopsis of literature 
What is known about X  is derived from  historical data from ,Synopsis of literature 
What we know about X  comes from  epidemiological studies,Synopsis of literature 
What is known about X  comes from  epidemiological studies,Synopsis of literature 
What we know about X  is based on epidemiological studies,Synopsis of literature 
What we know about X  is derived from  epidemiological studies,Synopsis of literature 
What is known about X  is based on epidemiological studies,Synopsis of literature 
What is known about X  is derived from  epidemiological studies,Synopsis of literature 
What we know about X  comes from  brief biographical details.,Synopsis of literature 
What is known about X  comes from  brief biographical details.,Synopsis of literature 
What we know about X  is based on brief biographical details.,Synopsis of literature 
What we know about X  is derived from  brief biographical details.,Synopsis of literature 
What is known about X  is based on brief biographical details.,Synopsis of literature 
What is known about X  is derived from  brief biographical details.,Synopsis of literature 
What we know about X  comes from  cross-sectional studies of,Synopsis of literature 
What is known about X  comes from  cross-sectional studies of,Synopsis of literature 
What we know about X  is based on cross-sectional studies of,Synopsis of literature 
What we know about X  is derived from  cross-sectional studies of,Synopsis of literature 
What is known about X  is based on cross-sectional studies of,Synopsis of literature 
What is known about X  is derived from  cross-sectional studies of,Synopsis of literature 
What we know about X  comes from  studies of people living in,Synopsis of literature 
What is known about X  comes from  studies of people living in,Synopsis of literature 
What we know about X  is based on studies of people living in,Synopsis of literature 
What we know about X  is derived from  studies of people living in,Synopsis of literature 
What is known about X  is based on studies of people living in,Synopsis of literature 
What is known about X  is derived from  studies of people living in,Synopsis of literature 
What we know about X  comes from  case studies undertaken in,Synopsis of literature 
What is known about X  comes from  case studies undertaken in,Synopsis of literature 
What we know about X  is based on case studies undertaken in,Synopsis of literature 
What we know about X  is derived from  case studies undertaken in,Synopsis of literature 
What is known about X  is based on case studies undertaken in,Synopsis of literature 
What is known about X  is derived from  case studies undertaken in,Synopsis of literature 
What we know about X  comes from  contemporary textual sources,Synopsis of literature 
What is known about X  comes from  contemporary textual sources,Synopsis of literature 
What we know about X  is based on contemporary textual sources,Synopsis of literature 
What we know about X  is derived from  contemporary textual sources,Synopsis of literature 
What is known about X  is based on contemporary textual sources,Synopsis of literature 
What is known about X  is derived from  contemporary textual sources,Synopsis of literature 
What we know about X  comes from  small-scale experiments with,Synopsis of literature 
What is known about X  comes from  small-scale experiments with,Synopsis of literature 
What we know about X  is based on small-scale experiments with,Synopsis of literature 
What we know about X  is derived from  small-scale experiments with,Synopsis of literature 
What is known about X  is based on small-scale experiments with,Synopsis of literature 
What is known about X  is derived from  small-scale experiments with,Synopsis of literature 
What we know about X  comes from  research using laboratory animals,Synopsis of literature 
What is known about X  comes from  research using laboratory animals,Synopsis of literature 
What we know about X  is based on research using laboratory animals,Synopsis of literature 
What we know about X  is derived from  research using laboratory animals,Synopsis of literature 
What is known about X  is based on research using laboratory animals,Synopsis of literature 
What is known about X  is derived from  research using laboratory animals,Synopsis of literature 
What we know about X  comes from  research undertaken in major cities.,Synopsis of literature 
What is known about X  comes from  research undertaken in major cities.,Synopsis of literature 
What we know about X  is based on research undertaken in major cities.,Synopsis of literature 
What we know about X  is derived from  research undertaken in major cities.,Synopsis of literature 
What is known about X  is based on research undertaken in major cities.,Synopsis of literature 
What is known about X  is derived from  research undertaken in major cities.,Synopsis of literature 
What we know about X  comes from  a few primary sources from the time.,Synopsis of literature 
What is known about X  comes from  a few primary sources from the time.,Synopsis of literature 
What we know about X  is based on a few primary sources from the time.,Synopsis of literature 
What we know about X  is derived from  a few primary sources from the time.,Synopsis of literature 
What is known about X  is based on a few primary sources from the time.,Synopsis of literature 
What is known about X  is derived from  a few primary sources from the time.,Synopsis of literature 
What we know about X  comes from  studies conducted in populations of X.,Synopsis of literature 
What is known about X  comes from  studies conducted in populations of X.,Synopsis of literature 
What we know about X  is based on studies conducted in populations of X.,Synopsis of literature 
What we know about X  is derived from  studies conducted in populations of X.,Synopsis of literature 
What is known about X  is based on studies conducted in populations of X.,Synopsis of literature 
What is known about X  is derived from  studies conducted in populations of X.,Synopsis of literature 
What we know about X  comes from  observations using various animal models.,Synopsis of literature 
What is known about X  comes from  observations using various animal models.,Synopsis of literature 
What we know about X  is based on observations using various animal models.,Synopsis of literature 
What we know about X  is derived from  observations using various animal models.,Synopsis of literature 
What is known about X  is based on observations using various animal models.,Synopsis of literature 
What is known about X  is derived from  observations using various animal models.,Synopsis of literature 
A much debated question is whether   ,Highlighting a controversy in the field of study 
The precise effect of X is a much debated topic. ,Highlighting a controversy in the field of study 
One major issue in early X research concerned  ,Highlighting a controversy in the field of study 
To date there has been little agreement on what  ,Highlighting a controversy in the field of study 
The issue has grown in importance in light of recent   ,Highlighting a controversy in the field of study 
There has been disagreement on the criteria for defining X  ,Highlighting a controversy in the field of study 
"In the literature on X, the relative importance of Y is debated. ",Highlighting a controversy in the field of study 
One observer has already drawn attention to the paradox in  ,Highlighting a controversy in the field of study 
Questions have been raised about the use of animal subjects in  ,Highlighting a controversy in the field of study 
"In many Xs, a debate is taking place between Ys and Zs concerning  ",Highlighting a controversy in the field of study 
Debate continues about the best strategies for the management of  ,Highlighting a controversy in the field of study 
There has been much division between historians on the subject of   ,Highlighting a controversy in the field of study 
This concept has recently been challenged by X studies demonstrating  ,Highlighting a controversy in the field of study 
The debate about X has gained fresh prominence with many arguing that  ,Highlighting a controversy in the field of study 
"More recently, literature has emerged that offers contradictory findings about  ",Highlighting a controversy in the field of study 
Scholars have long debated the impact of X on the creation and diffusion of   ,Highlighting a controversy in the field of study 
One of the most significant current discussions in legal and moral philosophy is  ,Highlighting a controversy in the field of study 
The relationship between X and Y has attracted conflicting interpretations from   ,Highlighting a controversy in the field of study 
One major theoretical issue that has dominated the field for many years concerns  ,Highlighting a controversy in the field of study 
The controversy about scientific evidence for X has raged unabated for over a century. ,Highlighting a controversy in the field of study 
The issue of X has been a controversial and much disputed subject within the field of  ,Highlighting a controversy in the field of study 
"Several divergent accounts of X have been proposed, creating numerous controversies. ",Highlighting a controversy in the field of study 
The causes of X have been the subject of intense debate within the scientific community. ,Highlighting a controversy in the field of study 
"In the literature on X, the relative importance of Y has been subject to considerable discussion. ",Highlighting a controversy in the field of study 
There is little published data on   ,General reference to previous research or scholarship  highlighting paucity of research 
No previous study has investigated X . ,General reference to previous research or scholarship  highlighting paucity of research 
The use of X has not been investigated. ,General reference to previous research or scholarship  highlighting paucity of research 
There is very little published research on    ,General reference to previous research or scholarship  highlighting paucity of research 
There has been no detailed investigation of    ,General reference to previous research or scholarship  highlighting paucity of research 
There has been little quantitative analysis of  ,General reference to previous research or scholarship  highlighting paucity of research 
Data about the efficacy and safety of X are limited. ,General reference to previous research or scholarship  highlighting paucity of research 
"Up to now, far too little attention has been paid to  ",General reference to previous research or scholarship  highlighting paucity of research 
A search of the literature revealed few studies which   ,General reference to previous research or scholarship  highlighting paucity of research 
"The impact of X on Y is understudied, particularly for   ",General reference to previous research or scholarship  highlighting paucity of research 
"So far, however, there has been little discussion about  ",General reference to previous research or scholarship  highlighting paucity of research 
"In addition, no research has been found that surveyed  ",General reference to previous research or scholarship  highlighting paucity of research 
"Surprisingly, the effects of X have not been closely examined. ",General reference to previous research or scholarship  highlighting paucity of research 
"Surprisingly, X is seldom studied and it is unclear to what extent   ",General reference to previous research or scholarship  highlighting paucity of research 
"In contrast to X, there is much less information about effects of   ",General reference to previous research or scholarship  highlighting paucity of research 
X has hitherto received scant attention by scholars of the Y period. ,General reference to previous research or scholarship  highlighting paucity of research 
A systematic understanding of how X contributes to Y is still lacking. ,General reference to previous research or scholarship  highlighting paucity of research 
"Despite the importance of X, there remains a paucity of evidence on   ",General reference to previous research or scholarship  highlighting paucity of research 
There have been no controlled studies which compare differences in  ,General reference to previous research or scholarship  highlighting paucity of research 
The issue of X has attracted very little attention from the scholarly community. ,General reference to previous research or scholarship  highlighting paucity of research 
"To date, the problem of X has received scant attention in the research literature. ",General reference to previous research or scholarship  highlighting paucity of research 
"To date, no large scale studies have been performed to investigate the prevalence of  . ",General reference to previous research or scholarship  highlighting paucity of research 
"Although studies have recognised X, research has yet to systematically investigate the effect of   ",General reference to previous research or scholarship  highlighting paucity of research 
"To date, X has still not yet been closely  studied.",General reference to previous research or scholarship  highlighting paucity of research 
"To date, X has still not yet been formally studied.",General reference to previous research or scholarship  highlighting paucity of research 
"To date, X has still not yet been empirically studied.",General reference to previous research or scholarship  highlighting paucity of research 
"To date, X has still not yet been  extensively studied.",General reference to previous research or scholarship  highlighting paucity of research 
"To date, X has still not yet been scientifically examined.",General reference to previous research or scholarship  highlighting paucity of research 
"To date, X has still not yet been systematically examined.",General reference to previous research or scholarship  highlighting paucity of research 
"To date, X has still not yet been comprehensively investigated.",General reference to previous research or scholarship  highlighting paucity of research 
"To date, X has  not  been formally investigated.",General reference to previous research or scholarship  highlighting paucity of research 
"Surprisingly, X has still not yet been formally investigated.",General reference to previous research or scholarship  highlighting paucity of research 
There is a current paucity of studies investigating,General reference to previous research or scholarship  highlighting paucity of research 
There is a relative paucity of well-controlled studies describing how,General reference to previous research or scholarship  highlighting paucity of research 
There is a current paucity of studies investigating that seek to identify predictiors of,General reference to previous research or scholarship  highlighting paucity of research 
There is a general  paucity of empirical research in the field of,General reference to previous research or scholarship  highlighting paucity of research 
There is a notable paucity of high-quality research focusing specifically on,General reference to previous research or scholarship  highlighting paucity of research 
There is a surprising  paucity of high-quality research on the current prevalence of,General reference to previous research or scholarship  highlighting paucity of research 
There is a current paucity of scientific literature specifically relating to,General reference to previous research or scholarship  highlighting paucity of research 
There is a relative paucity of evidence-based literature on the experiences of,General reference to previous research or scholarship  highlighting paucity of research 
There is a general  paucity of scientific literature describing the impact of,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have explored   ,General reference to previous research or scholarship  highlighting paucity of research 
Few published studies have studies have focused on    ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have controlled for   ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have examined how   ,General reference to previous research or scholarship  highlighting paucity of research 
Few published studies have compared trends in   ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have attempted to define   ,General reference to previous research or scholarship  highlighting paucity of research 
Few published studies have examined the role of   ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have measured X in humans. ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have quantified the levels of   ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have assessed the implications of    ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have evaluated the effects of X on   ,General reference to previous research or scholarship  highlighting paucity of research 
Few published studies have examined the consequences of   ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have actually examined the impact of   ,General reference to previous research or scholarship  highlighting paucity of research 
Few published studies have have systematically investigated   ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have provided quantitative evidence of   ,General reference to previous research or scholarship  highlighting paucity of research 
Few published studies have systematically evaluated the use of   ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have attempted to quantify the impact of   ,General reference to previous research or scholarship  highlighting paucity of research 
Few published studies have adequately tested the effectiveness of   ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have addressed the long term psychological effects of   ,General reference to previous research or scholarship  highlighting paucity of research 
Very  few studies have been large enough to provide reliable estimates of   ,General reference to previous research or scholarship  highlighting paucity of research 
Few published studies have been conducted to determine the possible effects of   ,General reference to previous research or scholarship  highlighting paucity of research 
Although some research has been no single study exists which  ,General reference to previous research or scholarship  highlighting paucity of research 
"Although carried out on X, no studies have been found which  ",General reference to previous research or scholarship  highlighting paucity of research 
While some research has been no controlled studies have been reported. ,General reference to previous research or scholarship  highlighting paucity of research 
"While carried out on X, only two studies have attempted to investigate  ",General reference to previous research or scholarship  highlighting paucity of research 
Whilst some research has been there is very little scientific understanding of  ,General reference to previous research or scholarship  highlighting paucity of research 
"Whilst carried out on X, the mechanism by which  has not been established. ",General reference to previous research or scholarship  highlighting paucity of research 
"Whilst carried out on X, there have been few empirical investigations into  ",General reference to previous research or scholarship  highlighting paucity of research 
"So far, there  have been no attempts to examine   ",General reference to previous research or scholarship  highlighting paucity of research 
"To date, there  has been very little research directly investigating X. ",General reference to previous research or scholarship  highlighting paucity of research 
"Up to now,  there  have been very few empirically published accounts of X. ",General reference to previous research or scholarship  highlighting paucity of research 
"So far, very little research has been carried out on   ",General reference to previous research or scholarship  highlighting paucity of research 
"To date, very little has been published on the subject of   ",General reference to previous research or scholarship  highlighting paucity of research 
"Up to now,  very little attention has been paid to the role of X. ",General reference to previous research or scholarship  highlighting paucity of research 
"So far, few studies have examined the association between   ",General reference to previous research or scholarship  highlighting paucity of research 
"To date, few studies have investigated X in any systematic way   ",General reference to previous research or scholarship  highlighting paucity of research 
"Up to now,  few randomised clinical trials have specifically investigated X in   ",General reference to previous research or scholarship  highlighting paucity of research 
Previous studies of X have not dealt with  ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
Researchers have not treated X in much detail. ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
Such expositions are unsatisfactory because they  ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
"Such approaches, however, have failed to address   ",Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
Most studies in the field of X have only focused on  ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
Previous published studies are limited to local surveys. ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
Half of the studies evaluated failed to specify whether  ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
The research to date has tended to focus on X rather than Y. ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
Previously published studies on the effect of X are not consistent. ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
"Smith s analysis does not take account of , nor does she examine  ",Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
The existing accounts fail to resolve the contradiction between X and Y. ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
Most studies of X have only been carried out in a small number of areas. ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
"However, much of the research up to now has been descriptive in nature  ",Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
The generalisability of much published research on this issue is problematic. ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
Research on the subject has been mostly restricted to limited comparisons of  ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
"However, few writers have been able to draw on any systematic research into  ",Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
Short term studies such as these do not necessarily show subtle changes over time   ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
"Although extensive research has been carried out on X, no single study exists which  ",Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
"However, these results were based upon data from over 30 years ago and it is unclear if  ",Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
"The experimental data are rather controversial, and there is no general agreement about  ",Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
"However, all the previous X research was cross sectional in design. Therefore, it is unclear if    ",Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
"Although there are many reports in the literature on the outcome of X, most are restricted to  ",Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
"Some evidence suggests that X, although further work using Y is required to confirm this finding. ",Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
The existing literature on X  fails to   ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
Most of the work carried out on X suffers from   ,Highlighting inadequacies or weaknesses of previous studies  also refer to Being Critical  
